code,label,description
Civil,Civil,Civil engineering and site works
Electrical,Electrical,Electrical systems and equipment
SCADA,SCADA,Supervisory control and data acquisition
Grid,Grid,Grid connection and transmission
BESS,BESS,Battery energy storage systems
HSE,HSE,Health safety and environment
Contracts,Contracts,Contract and commercial
